Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),engine_no
Maruti Alto K10,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,8.5,33,196,94179
Maruti Brezza,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221,42059
Mahindra Thar,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,5.9,48,136,33264
Mahindra XUV700,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,27622
Mahindra Scorpio-N,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,30448
Toyota Fortuner,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,28,230,40869
Hyundai Creta,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,47781
Tata Punch,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1,25,255,67591
Mahindra Bolero,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267,83361
Maruti Swift,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212,32539
Tata Nexon,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225,26170
Hyundai Venue,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,81223
Kia Seltos,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,89081
Hyundai Tucson,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359,85097
Tata Harrier,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359,91658
Maruti Baleno,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,36604
Toyota Innova Crysta,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,89376
Maruti Ertiga,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,95110
Kia Sonet,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,70506
Maruti Dzire,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359,52646
Honda City 4th Generation,A4,COMPACT,2,4,AV8,Z,9.9,7.4,8.8,32,202,85361
Land Rover Range Rover,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,8.1,10,28,230,59050
Tata Tiago,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214,36189
Hyundai i20,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230,47515
Mahindra XUV300,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230,17192
MG Hector,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214,80948
Tata Altroz,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,10.2,28,235,94203
Mahindra Scorpio Classic,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,8.6,10.9,26,251,45708
Hyundai Verna,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217,69485
Citroen C3,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3,8.5,11.2,25,262,24344
Honda City,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217,25846
Maruti Celerio,A8,MID-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258,90662
Nissan Magnite,A8,MID-SIZE,4,8,AS8,Z,13.7,8.3,11.3,25,265,52287
Renault KWID,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224,41668
Land Rover Defender,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258,25971
Maruti Alto 800,A8L,FULL-SIZE,4,8,AS8,Z,14.7,9.7,12.5,23,288,28488
Hyundai Kona Electric,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363,58601
Tata Tigor,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224,46246
Renault Kiger,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,10.5,27,242,65543
Maruti S-Presso,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,10.4,27,239,93918
MG Astor,Q5,SUV - SMALL,3,6,AS8,Z,12.9,9.2,11.2,25,258,43027
Lamborghini Urus,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,9,31,244,40095
Honda Amaze,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,9.2,31,212,44310
Renault Triber,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,13.2,21,304,20909
Hyundai Alcazar,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,10.7,26,290,58932
Hyundai Aura,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336,73982
